setting_id,dgp_id,dgp_label,p,beta_scale,gamma,kappa,cens_target,tau_quantile,method_id,method_label,n,test_frac,alpha,B,n_rep,tau_mean,coverage_mean,coverage_sd,length_mean,length_sd,censor_rate_emp_mean,admin_mass_emp_mean,tcrit,coverage_se,length_se,coverage_ci_low,coverage_ci_high,length_ci_low,length_ci_high,target_coverage,abs_cov_error
s005,base,Base Weibull PH,3,0.3,1.2,1,0.2,0.9,cp_cox_crossfit,CP + Cox (Cross-Fit),2000,0.3,0.1,1500,30,2.2866506982812256,0.9036111111111111,0.016117880728638956,2.122210821414028,0.07277888142492067,0.2558095238095238,0.05580952380952381,2.0452296421327034,0.002942708951417786,0.013287545022140926,0.8975925955355022,0.9096296266867201,2.0950347404635723,2.1493869023644834,0.9,0.0036111111111111205
s006,base,Base Weibull PH,3,0.3,1.2,1,0.2,0.97,cp_cox_crossfit,CP + Cox (Cross-Fit),2000,0.3,0.1,1500,30,3.633797212728794,0.9017222222222222,0.016548334715753822,3.4653002286411465,0.14376459811568063,0.21307142857142858,0.012142857142857143,2.0452296421327034,0.0030212987376547363,0.026247704452874325,0.8955429724862326,0.9079014719582118,3.4116176454561895,3.5189828118261035,0.9,0.0017222222222221806
s007,base,Base Weibull PH,3,0.3,1.2,1,0.35,0.75,cp_cox_crossfit,CP + Cox (Cross-Fit),2000,0.3,0.1,1500,30,1.3673264853674754,0.9038888888888889,0.01833246253591991,1.205769679791573,0.041783355256244104,0.4549761904761905,0.10733333333333334,2.0452296421327034,0.003347034421847232,0.007628562067365649,0.8970434348760884,0.9107343429016893,1.1901675185245475,1.2213718410585983,0.9,0.0038888888888888307
s008,base,Base Weibull PH,3,0.3,1.2,1,0.35,0.9,cp_cox_crossfit,CP + Cox (Cross-Fit),2000,0.3,0.1,1500,30,2.2911198015193883,0.8982777777777777,0.015378265832841582,2.1231164148046164,0.06336878787811184,0.3810952380952381,0.028714285714285716,2.0452296421327034,0.0028076743639861017,0.011569504854200595,0.8925354389430973,0.9040201166124582,2.099454120532007,2.1467787090772257,0.9,0.0017222222222222916
s009,base,Base Weibull PH,3,0.3,1.2,1,0.35,0.97,cp_cox_crossfit,CP + Cox (Cross-Fit),2000,0.3,0.1,1500,30,3.6471389035828,0.8971666666666667,0.015169224238064199,3.477000569865967,0.16298831820303633,0.3518095238095238,0.004714285714285714,2.0452296421327034,0.0027695087650139593,0.029757459496544292,0.8915023852463138,0.9028309480870196,3.4161397316290714,3.537861408102863,0.9,0.0028333333333333544
s010,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.1,0.75,cp_cox_crossfit,CP + Cox (Cross-Fit),2000,0.3,0.1,1500,30,1.5201187052389442,0.8972222222222223,0.015371101245913793,1.3140425323145666,0.04399606783855018,0.3026904761904762,0.202,2.0452296421327034,0.002806366295360916,0.008032546265567164,0.891482558688268,0.9029618857561765,1.2976141305904263,1.3304709340387069,0.9,0.002777777777777768
s011,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.1,0.9,cp_cox_crossfit,CP + Cox (Cross-Fit),2000,0.3,0.1,1500,30,2.912455341878959,0.8957222222222222,0.01722447766716798,2.7090644354875173,0.10813748389005383,0.17333333333333334,0.07311904761904763,2.0452296421327034,0.0031447449865172877,0.019743113079477993,0.8892904965588488,0.9021539478855956,2.668685235389391,2.7494436355856435,0.9,0.004277777777777825
s012,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.1,0.97,cp_cox_crossfit,CP + Cox (Cross-Fit),2000,0.3,0.1,1500,30,5.391782946865262,0.8950555555555555,0.01760835819763863,5.183650641810734,0.3431425634265649,0.1195952380952381,0.017476190476190475,2.0452296421327034,0.0032148316618258958,0.06264897414295893,0.8884804865463224,0.9016306245647886,5.055519102844349,5.3117821807771195,0.9,0.004944444444444529
s013,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.2,0.75,cp_cox_crossfit,CP + Cox (Cross-Fit),2000,0.3,0.1,1500,30,1.5056427548209994,0.9067777777777778,0.018372128927487543,1.3094098289077136,0.05571414250664896,0.36,0.16123809523809524,2.0452296421327034,0.0033542764809927073,0.010171964207649684,0.899917512090943,0.9136380434646126,1.2886058261915156,1.3302138316239116,0.9,0.0067777777777777715
s014,high_dim,Higher covariate dimension,9,0.3,1.2,1,0.2,0.9,cp_cox_crossfit,CP + Cox (Cross-Fit),2000,0.3,0.1,1500,30,2.904074081901906,0.8978888888888888,0.013064336331415072,2.7028787195801867,0.12944850135275052,0.24723809523809523,0.04838095238095238,2.0452296421327034,0.002385210569183441,0.02363395474204649,0.8930105855300666,0.9027671922477111,2.6545418547809305,2.751215584379443,0.9,0.0021111111111111747
